Row,log_1,log_2,log_3,log_4,log_5
Time_WLK21,7390.341597,5785.763015,7426.619565,6801.308828,5273.449521
Error_WLK21,3.10862446895044e-15,3.5527136788005e-15,7.99360577730113e-15,1.11022302462516e-14,6.66133814775094e-15
Err_WLK21_CR,3.10862446895044e-15,3.99680288865056e-15,8.43769498715119e-15,1.15463194561016e-14,5.99520433297585e-15
Time_WLK21_eig,3565.403845,3695.731121,4695.033159,4311.252011,3432.678347
Time_WLK21_grad,3702.317467,1993.192905,2547.654397,2393.983672,1703.276797
Time_WK20,7852.409819,7574.512972,8407.605198,9966.955783,8778.204583
Error_WK20,3.10862446895044e-15,4.44089209850063e-15,2.88657986402541e-14,2.62012633811537e-14,1.22124532708767e-14
Err_WK20_CR,3.99680288865056e-15,5.32907051820075e-15,3.01980662698043e-14,2.62012633811537e-14,1.26565424807268e-14
Time_WK20_eig,385.317474,513.605541,544.800826,477.340194,408.070124
Time_WK20_grad,7462.855652,7056.664614,7858.872342,9485.635727,8366.114187
Time_JL19,17149.906271,16866.421995,15093.325232,14969.78169,14759.567771
Error_JL19,8.95727936267576e-13,1.50395251807822e-11,1.43632159499418e-08,1.86538207103126e-09,9.69024860353329e-11
Error_JL19_CR,3.41117093993759e-06,9.40860728393389e-06,9.35324767814549e-06,9.41657781083904e-06,4.63688965557374e-06
Time_JL19_eig,547.602356,563.177564,910.723783,453.997136,451.220329
Time_JL19_grad,16598.113535,16298.341208,14177.24178,14511.852112,14304.375942
