Row,log_1,log_2,log_3,log_4,log_5
Time_WLK21,2992.972769,3139.587796,2624.704491,2129.018389,2568.242124
Error_WLK21,1.46549439250521e-14,2.26485497023532e-14,1.55431223447522e-14,6.88338275267597e-15,2.1538326677728e-14
Err_WLK21_CR,1.37667655053519e-14,2.22044604925031e-14,1.59872115546023e-14,6.88338275267597e-15,2.19824158875781e-14
Time_WLK21_eig,2092.426602,2307.199686,1790.889608,1493.254327,1923.08351
Time_WLK21_grad,769.930441,740.942247,748.408722,555.257394,544.851538
Time_WK20,10469.028394,10377.536353,7462.292768,11766.259711,13144.814636
Error_WK20,6.21724893790088e-15,2.75335310107039e-14,1.15463194561016e-14,9.99200722162641e-15,1.97619698383278e-14
Err_WK20_CR,5.77315972805081e-15,2.8421709430404e-14,1.11022302462516e-14,9.76996261670138e-15,1.97619698383278e-14
Time_WK20_eig,616.695504,821.882911,387.865484,556.176878,766.082055
Time_WK20_grad,9848.442308,9548.58238,7070.39202,11206.228967,12373.027055
Time_JL19,13188.240109,12869.157791,13114.547527,12764.1366,13053.498013
Error_JL19,7.45424453452159e-06,1.14746813615341e-05,2.50034772517616e-05,1.20909017027326e-05,7.44750650838455e-06
Error_JL19_CR,7.45424453452159e-06,1.14746813624222e-05,2.50034772517616e-05,1.2092788168161e-05,7.44845941302863e-06
Time_JL19_eig,465.450198,464.428744,358.024491,716.381669,616.846117
Time_JL19_grad,12719.2759,12399.752736,12752.11923,12043.206046,12431.145128
