Row,log_1,log_2,log_3,log_4,log_5
Time_WLK21,6535.669344,5104.953603,6668.879125,6058.588894,4782.765371
Error_WLK21,3.10862446895044e-15,3.5527136788005e-15,7.99360577730113e-15,1.11022302462516e-14,6.66133814775094e-15
Err_WLK21_CR,3.10862446895044e-15,3.99680288865056e-15,8.43769498715119e-15,1.15463194561016e-14,5.99520433297585e-15
Time_WLK21_eig,3129.330711,3221.463818,4293.461771,3842.538774,3166.719961
Time_WLK21_grad,3320.505026,1798.457758,2248.717313,2120.99173,1512.155257
Time_WK20,7052.581279,6584.146695,7529.041,9020.375649,7797.793148
Error_WK20,3.10862446895044e-15,4.44089209850063e-15,2.88657986402541e-14,2.62012633811537e-14,1.22124532708767e-14
Err_WK20_CR,3.99680288865056e-15,5.32907051820075e-15,3.01980662698043e-14,2.62012633811537e-14,1.26565424807268e-14
Time_WK20_eig,322.367274,365.5895,516.598883,434.496429,350.225543
Time_WK20_grad,6725.408061,6214.605792,7007.732035,8580.219787,7443.967885
Time_JL19,14128.263782,13547.748494,13527.648657,14697.331863,13068.161454
Error_JL19,8.95727936267576e-13,1.50395251807822e-11,1.43632159499418e-08,1.86538207103126e-09,9.69024860353329e-11
Error_JL19_CR,3.41117093993759e-06,9.40860728393389e-06,9.35324767814549e-06,9.41657781083904e-06,4.63688965557374e-06
Time_JL19_eig,513.947122,466.467916,828.242698,396.454318,394.472164
Time_JL19_grad,13610.4226,13077.371948,12695.358158,14297.042013,12669.884689
