Row,log_1,log_2,log_3,log_4,log_5
Time_WLK21,2990.086879,3149.657408,2637.707798,2173.658236,2596.362905
Error_WLK21,1.46549439250521e-14,2.26485497023532e-14,1.55431223447522e-14,6.88338275267597e-15,2.1538326677728e-14
Err_WLK21_CR,1.37667655053519e-14,2.22044604925031e-14,1.59872115546023e-14,6.88338275267597e-15,2.19824158875781e-14
Time_WLK21_eig,2098.531742,2289.010429,1781.071626,1533.134689,1935.099221
Time_WLK21_grad,798.324812,771.697943,772.491417,537.888309,580.636365
Time_WK20,10534.531942,10337.653947,7453.035051,11782.057942,13175.85015
Error_WK20,6.66133814775094e-15,2.75335310107039e-14,1.11022302462516e-14,9.99200722162641e-15,1.97619698383278e-14
Err_WK20_CR,5.77315972805081e-15,2.8421709430404e-14,1.11022302462516e-14,9.76996261670138e-15,1.97619698383278e-14
Time_WK20_eig,631.803379,799.655026,363.85823,545.139772,716.238378
Time_WK20_grad,9898.937562,9534.104713,7085.161599,11230.784329,12455.717924
Time_JL19,13745.770023,14415.8987,13190.199279,12830.980041,13165.576711
Error_JL19,7.45424453452159e-06,1.14746813615341e-05,2.50034772517616e-05,1.20909017027326e-05,7.44750650838455e-06
Error_JL19_CR,7.45424453452159e-06,1.14746813624222e-05,2.50034772517616e-05,1.2092788168161e-05,7.44845941302863e-06
Time_JL19_eig,455.118561,463.403982,348.65318,720.392191,577.821311
Time_JL19_grad,13287.221122,13948.507369,12837.885286,12105.277916,12583.832787
